R_accel_x,R_accel_y,R_accel_z,R_gyro_x,R_gyro_y,R_gyro_z,R_temperature,R_flex_raw_1,R_flex_raw_2,R_flex_raw_3,R_flex_raw_4,R_flex_raw_5,L_accel_x,L_accel_y,L_accel_z,L_gyro_x,L_gyro_y,L_gyro_z,L_temperature,L_flex_raw_1,L_flex_raw_2,L_flex_raw_3,L_flex_raw_4,L_flex_raw_5,Result
7.49,-6.58,-2.05,0.61,1.5,-0.46,27.79,570,827,1991,61,73,-4.75,8.49,0.15,-0.07,-0.04,0.01,27.71,803,595,1961,665,725,rest posture
8.98,-4.22,2.12,0,0.01,-0.06,27.81,648,868,2021,113,107,-4.65,8.58,0.71,-0.11,-0.01,0.03,27.75,799,570,1949,663,721,rest posture
-6.34,-1.95,-7.58,0.03,0.19,0.03,27.81,781,787,1305,1310,0,-4.75,8.2,0.6,-0.07,0.07,0.02,27.8,808,549,1960,676,727,rest posture
5.77,-3.4,2.44,-0.08,-0.11,-0.04,27.43,635,819,1995,45,55,-4.68,8.53,0.76,-0.07,-0.03,0.03,27.85,798,582,1959,675,728,rest posture
8.43,-5.36,1.92,1.04,-0.55,1.2,27.76,590,773,1963,23,9,-4.56,8.4,0.64,-0.13,0.05,0.1,27.86,800,573,1961,678,723,rest posture
8.15,-5.07,2.72,0.05,-0.18,-0.03,27.84,579,774,1959,0,10,-4.17,8.1,1.13,-0.08,-0.03,-0.04,27.88,794,580,1958,671,734,rest posture
7.84,-4.63,3.41,0.45,-0.03,0.21,27.79,651,853,2013,93,90,-4.52,8.61,-0.07,-0.1,0.15,0.03,27.9,827,602,1979,685,728,rest posture
7.68,-5.87,3.17,-0.05,0.09,-0.02,27.83,445,789,1967,11,25,-4.68,8.2,1.12,-0.05,0.01,0.06,27.92,846,593,1967,669,719,rest posture
6.8,-6.17,3.81,-0.45,1.42,-1.23,27.78,568,786,1976,41,25,-4.68,8.67,0.62,0.01,-0.07,0.01,27.93,821,591,1959,667,729,number 5
7.72,-4.77,3.95,0.18,0.05,0.32,27.8,583,807,1991,53,57,-4.77,8.72,0.98,0.03,-0.07,0.05,27.97,810,597,1957,678,725,number 5
5.99,-8.1,-7.84,0.14,5.25,-0.95,27.79,558,923,1386,1387,147,-4.81,8.49,1.04,-0.07,0.01,0.05,28,807,589,1959,674,729,number 5
6.36,-6.29,4.27,-0.05,-0.06,0.05,27.77,597,760,1959,0,0,-4.44,8.93,0.72,-0.14,0.22,0.21,28.02,819,583,1959,671,724,number 5
7.11,-5.19,4.88,-0.03,0.26,0.07,27.72,580,758,1959,0,0,-4.86,8.31,0.93,-0.01,0.03,0.03,28.04,807,580,1961,671,728,number 5
6.92,-7.82,-6.01,-1.43,-1.5,1.17,27.72,555,773,1958,3,0,-4.89,8.31,0.9,-0.05,0.01,0.03,28.07,804,567,1961,669,727,number 5
6.32,-3.5,2.7,-0.22,0.14,0.04,27.1,581,760,1959,2,0,-4.64,8.65,0.52,-0.12,-0.06,0.06,28.08,797,571,1959,677,727,number 5
2.15,-3.17,-9.18,1.23,1.82,0.15,27.47,535,763,1938,1,0,-4.97,8.35,0.75,-0.08,-0.03,0.02,28.13,810,587,1961,670,723,number 5
7.8,-4.63,3.63,-0.04,-0.05,0.02,27.53,665,763,1955,5,2,-5.05,8.35,0.87,0.05,-0.11,-0.01,28.17,813,587,1960,671,725,number 5
-6.43,-1.67,-9.72,0.48,0.47,-0.04,27.56,827,827,2007,54,62,-4.93,8.34,1,-0.05,-0.04,0.04,28.21,827,600,1960,669,726,number 5
8.96,-3.8,2.8,0.18,-0.14,0.26,27.57,701,863,2023,121,111,-4.76,8.6,0.63,-0.04,-0.09,0,28.23,824,589,1960,670,725,number 5
-4.64,-0.77,-6.53,-0.16,-1.4,-0.77,27.6,745,763,1975,2,0,-4.89,8.39,1.01,0,-0.05,0.01,28.28,823,589,1959,677,733,number 5
5.75,-3.76,2.85,-0.25,0.05,-0.29,27.2,575,783,1975,19,9,-5.01,8.2,0.95,-0.1,0.02,0.04,28.29,812,591,1963,678,731,number 5
6.05,-4.26,1.21,0.07,-0.04,0,27,683,883,2025,157,141,-4.83,8.48,0.96,-0.09,0.01,0.03,28.32,813,575,1945,648,727,number 5
5.94,-7.03,4.63,0.29,-0.21,0.39,27.39,668,851,2021,128,109,-4.82,8.42,0.97,0.05,-0.07,0,28.34,816,584,1949,668,728,number 5
-6.34,-1.19,-8.67,-0.55,0.8,0.23,27.45,743,789,1971,22,0,-4.97,8.43,1,-0.05,0.01,0.03,28.36,810,585,1951,660,731,number 5
-6.89,-2.07,-5.85,0.79,-0.59,-0.52,27.52,820,847,1368,1343,68,-4.77,7.97,0.79,0,-0.09,-0.07,28.38,816,589,1955,665,717,number 5
8.3,-7.44,1.88,-0.74,-0.75,-0.3,27.58,563,762,1951,0,0,-5.03,8.14,1.12,-0.06,0.02,0.04,28.34,810,585,1951,665,717,number 5
5.58,-4.11,2.81,-0.01,-0.01,0.02,27.21,573,758,1959,0,4,-5.02,8.43,0.98,-0.03,-0.04,0.04,28.34,819,575,1955,662,731,number 5
7.59,-6.09,2.24,-0.01,-0.09,-0.06,27.5,565,775,1961,0,6,-4.68,8.68,1.11,-0.05,-0.09,-0.11,28.34,807,585,1947,669,763,rest posture
8.05,-5.8,2.05,0.04,-0.01,0,27.49,573,763,1959,10,0,-4.99,8.28,1.07,-0.06,0,0.05,28.31,811,584,1949,664,735,rest posture
7.76,-5.79,2.29,0,0,0.01,27.49,581,763,1959,5,7,-4.83,8.3,0.66,0.09,-0.18,-0.04,28.29,815,591,1947,614,735,rest posture
7.89,-5.32,2.28,-0.17,-0.02,-0.24,27.44,581,763,1959,0,0,-4.87,8.47,0.75,-0.1,-0.04,-0.02,28.29,795,574,1955,661,729,rest posture
8.07,-5.34,2.38,-0.03,-0.02,-0.05,27.4,589,766,1961,0,0,-4.84,8.52,0.97,-0.07,-0.07,0.02,28.27,798,573,1955,659,732,rest posture
8.23,-4.93,2.55,0.02,0.01,0.03,27.41,582,764,1961,0,0,-4.94,8.25,1.03,0.03,-0.24,-0.14,28.26,812,574,1947,664,728,rest posture
8.22,-5.23,2.46,0,-0.01,0.02,27.41,574,763,1959,0,0,-5.29,8.48,0.55,-0.1,-0.07,0.02,28.28,805,585,1950,666,731,rest posture
8.06,-4.97,2.82,0.04,0,0.04,27.42,586,763,1959,3,0,-4.96,8.42,1.15,-0.06,0,0.06,28.27,805,569,1949,665,739,rest posture
8.02,-5.01,2.86,0,0.05,0.03,27.48,585,763,1951,0,0,-4.91,8.37,0.98,-0.08,-0.03,0.03,28.25,799,585,1948,660,733,rest posture
